00GE               20131205                                                                                   
0601GEA0N       20140101001520005000005000 0000000000002325   
0601GEA0N       20140101001525005000005000 0000000000002328   
0601GEA0N       20140101001530005000005000 0000000000002333   
0601GEA0N       20140101001535005000005000 0000000000002336   
0601GEA0N       20140101001540005000005000 0000000000002339   
0601GEA0N       20140101001545005000005000 0000000000002343   
0601GEA0N       20140101001550005000005000 0000000000002347   
0601GEA0N       20140101001555005000005000 0000000000002350   
0601GEA0N       20140101001560005000005000 0000000000002354   
0601GEA0N       20140101001565005000005000 0000000000002358   
0601GEA0N       20140101001570005000005000 0000000000002361   
0601GEA0N       20140101001575005000005000 0000000000002365   
0601GEA0N       20140101001580005000005000 0000000000002368   
0601GEA0N       20140101001585005000005000 0000000000002371   
0601GEA0N       20140101001590005000005000 0000000000002375   
0601GEA0N       20140101001595005000005000 0000000000002378   
0601GEA0N       20140101001600005000005000 0000000000002381   
0601GEA0N       20140101001605005000005000 0000000000002385   
0601GEA0N       20140101001610005000005000 0000000000002389   
0601GEA0N       20140101001615005000005000 0000000000002392   
0601GEA0N       20140101001620005000005000 0000000000002396   
0601GEA0N       20140101001625005000005000 0000000000002399   
0601GEA0N       20140101001630005000005000 0000000000002403   
0601GEA0N       20140101001635005000005000 0000000000002407   
0601GEA0N       20140101001640005000005000 0000000000002410   
0601GEA0N       20140101001645005000005000 0000000000002413   
0601GEA0N       20140101001650005000005000 0000000000002417   
0601GEA0N       20140101001655005000005000 0000000000002420   
0601GEA0N       20140101001660005000005000 0000000000002423   
0601GEA0N       20140101001665005000005000 0000000000002427   
0601GEA0N       20140101001670005000005000 0000000000002430   
0601GEA0N       20140101001675005000005000 0000000000002433   
0601GEA0N       20140101001680005000005000 0000000000002437   
0601GEA0N       20140101001685005000005000 0000000000002440   
0601GEA0N       20140101001690005000005000 0000000000002443   
0601GEA0N       20140101001695005000005000 0000000000002447   
0601GEA0N       20140101001700005000005000 0000000000002450   
0601GEA0N       20140101001705005000005000 0000000000002453   
0601GEA0N       20140101001710005000005000 0000000000002456   
0601GEA0N       20140101001715005000005000 0000000000002459   
0601GEA0N       20140101001720005000005000 0000000000002462   
0601GEA0N       20140101001725005000005000 0000000000002466   
0601GEA0N       20140101001730005000005000 0000000000002469   
0601GEA0N       20140101001735005000005000 0000000000002471   
0601GEA0N       20140101001740005000005000 0000000000002475   
0601GEA0N       20140101001745005000005000 0000000000002478   
0601GEA0N       20140101001750005000005000 0000000000002481   
0601GEA0N       20140101001755005000005000 0000000000002484   
0601GEA0N       20140101001760005000005000 0000000000002487   
0601GEA0N       20140101001765005000005000 0000000000002490   
0601GEA0N       20140101001770005000005000 0000000000002494   
0601GEA0N       20140101001775005000005000 0000000000002497   
0601GEA0N       20140101001780005000005000 0000000000002500   
0601GEA0N       20140101001785005000005000 0000000000002504   
0601GEA0N       20140101001790005000005000 0000000000002507   
0601GEA0N       20140101001795005000005000 0000000000002511   
0601GEA0N       20140101001800005000005000 0000000000002514   
0601GEA0N       20140101001805005000005000 0000000000002518   
